     Pclass  Sex    Age  Siblings/Spouses Aboard  Parents/Children Aboard      Fare                                                                             values  targets
88      3.0  1.0  24.00                      0.0                      0.0    8.0500                                                              Mr. Francesco Celotti        0
714     2.0  0.0  27.00                      0.0                      0.0   10.5000                                                          Miss. Edwina Celia Troutt        1
557     3.0  1.0  30.00                      0.0                      0.0    7.7500                                                            Mr. Thomas Rowan Morrow        0
250     3.0  0.0  29.00                      1.0                      1.0   10.4625                                          Mrs. Wilhelm (Elna Matilda Persson) Strom        0
753     2.0  1.0  18.00                      0.0                      0.0   11.5000                                                            Mr. Percy Andrew Bailey        0
474     3.0  1.0  29.00                      1.0                      0.0    7.0458                                                           Mr. Lewis Richard Braund        0
331     3.0  1.0  16.00                      2.0                      0.0   18.0000                                                     Mr. Leo Edmondus Vander Planke        0
416     2.0  1.0  30.00                      0.0                      0.0   13.0000                                                          Mr. William John Matthews        0
299     3.0  1.0  24.00                      2.0                      0.0   23.2500                                                                  Mr. Bernard McCoy        1
371     1.0  1.0  22.00                      0.0                      0.0  135.6333                                                                 Mr. Sante Ringhini        0
308     1.0  0.0  24.00                      0.0                      0.0   83.1583                                                      Miss. Margaret Bechstein Hays        1
634     2.0  1.0  31.00                      1.0                      1.0   26.2500                                                                 Mr. Harvey Collyer        0
255     1.0  0.0  38.00                      0.0                      0.0   79.2000                                                      Mrs. Gertrude Maybelle Thorne        1
301     2.0  0.0  46.00                      0.0                      0.0   12.3500                                                                 Miss. Nora A Keane        1
607     3.0  0.0  39.00                      1.0                      5.0   31.2750                           Mrs. Anders Johan (Alfrida Konstantia Brogren) Andersson        0
881     3.0  0.0  39.00                      0.0                      5.0   29.1250                                                Mrs. William (Margaret Norton) Rice        0
103     3.0  1.0  37.00                      2.0                      0.0    7.9250                                                      Mr. Anders Vilhelm Gustafsson        0
436     2.0  1.0  31.00                      0.0                      0.0   10.5000                                              Mr. Johan Henrik Johannesson Kvillner        0
662     2.0  1.0  32.00                      2.0                      0.0   73.5000                                                                  Mr. Lewis Hickman        0
157     3.0  1.0  37.00                      0.0                      0.0    8.6625                                                                 Mr. Mile Smiljanic        0
379     3.0  0.0   1.00                      0.0                      2.0   15.7417                                                                  Miss. Maria Nakid        1
574     1.0  0.0  39.00                      1.0                      0.0   55.9000                                           Mrs. William Baird (Alice Munger) Silvey        1
344     2.0  0.0  40.00                      0.0                      0.0   13.0000                                                           Miss. Marion Elsie Smith        1
772     3.0  1.0  20.00                      0.0                      0.0    7.7500                                                                    Mr. Roger Tobin        0
533     1.0  1.0  45.00                      0.0                      0.0   26.5500                                                   Major. Archibald Willingham Butt        0
550     3.0  1.0  22.00                      0.0                      0.0    7.2250                                                                    Mr. Fahim Leeni        1
709     1.0  1.0  48.00                      1.0                      0.0   52.0000                                                            Mr. Elmer Zebley Taylor        1
312     2.0  1.0  43.00                      1.0                      1.0   26.2500                                                                  Mr. Benjamin Hart        0
90      3.0  1.0  20.00                      0.0                      0.0    7.8542                                                          Mr. Paul Edvin Andreasson        0
14      3.0  0.0  14.00                      0.0                      0.0    7.8542                                                Miss. Hulda Amanda Adolfina Vestrom        0
197     3.0  0.0  21.00                      0.0                      0.0    7.7500                                                             Miss. Margaret Madigan        1
55      2.0  0.0  21.00                      0.0                      0.0   10.5000                                                                   Miss. Emily Rugg        1
534     1.0  0.0  30.00                      0.0                      0.0  106.4250                                                                 Miss. Bertha LeRoy        1
512     1.0  1.0  47.00                      0.0                      0.0   34.0208                                                        Mr. William Anderson Walker        0
5       3.0  1.0  27.00                      0.0                      0.0    8.4583                                                                    Mr. James Moran        0
586     3.0  1.0  22.00                      0.0                      0.0    8.0500                                                                 Mr. Joseph Murdlin        0
125     3.0  1.0  19.00                      0.0                      0.0    7.7500                                                                 Mr. Martin McMahon        0
44      3.0  1.0  30.00                      0.0                      0.0    8.0500                                                            Mr. William John Rogers        0
111     3.0  1.0  22.00                      0.0                      0.0    8.0500                                                              Mr. David John Barton        0
424     2.0  0.0  19.00                      0.0                      0.0   26.0000                                                       Miss. Kate Florence Phillips        1
730     2.0  1.0  23.00                      0.0                      0.0   13.0000                                                        Mr. Moses Aaron Troupiansky        0
300     3.0  1.0  19.00                      0.0                      0.0    0.0000                                                     Mr. William Cahoone Jr Johnson        0
270     2.0  0.0  41.00                      0.0                      1.0   19.5000                                           Mrs. (Elizabeth Anne Maidment) Mellinger        1
291     3.0  0.0  24.00                      0.0                      0.0    8.8500                                                                 Miss. Aloisia Haas        0
784     3.0  1.0   1.00                      1.0                      2.0   20.5750                                                          Master. Bertram Vere Dean        1
101     1.0  1.0  21.00                      0.0                      1.0   77.2875                                                           Mr. Richard Frasar White        0
278     3.0  1.0  65.00                      0.0                      0.0    7.7500                                                                    Mr. Frank Duane        0
500     3.0  0.0  37.00                      0.0                      0.0    9.5875                                                      Miss. Kristina Sofia Laitinen        0
719     2.0  1.0  50.00                      0.0                      0.0   13.0000                                                             Mr. Henry Price Hodges        0
803     3.0  0.0  18.00                      0.0                      0.0    7.7750                                                     Miss. Ellen Natalia Pettersson        0
746     2.0  0.0   4.00                      1.0                      1.0   23.0000                                                                   Miss. Joan Wells        1
505     3.0  1.0  28.00                      0.0                      0.0   22.5250                                                            Mr. Henry Margido Olsen        0
667     2.0  0.0  40.00                      1.0                      1.0   39.0000                       Mrs. Thomas William Solomon (Elizabeth Catherine Ford) Brown        1
637     3.0  1.0  20.00                      0.0                      0.0    7.8542                                                              Mr. Hans Peder Jensen        0
340     2.0  1.0  28.00                      0.0                      0.0   13.0000                                                          Mr. Erik Gustaf Collander        0
196     3.0  1.0  42.00                      0.0                      1.0    8.4042                                                    Mr. Karl Siegwart Andreas Olsen        0
531     3.0  0.0  30.00                      0.0                      0.0    8.6625                                                                 Miss. Marija Cacic        0
685     3.0  1.0  18.00                      0.0                      0.0    7.7958                                                     Mr. Eberhard Thelander Fischer        0
332     1.0  0.0  42.00                      1.0                      0.0  133.6500                                  Mrs. Henry William (Clara Heinsheimer) Frauenthal        1
4       3.0  1.0  35.00                      0.0                      0.0    8.0500                                                            Mr. William Henry Allen        0
287     3.0  0.0  22.00                      0.0                      0.0    7.7500                                                                Miss. Kate Connolly        1
60      1.0  0.0  38.00                      0.0                      0.0   80.0000                                                                 Miss. Amelie Icard        1
328     3.0  0.0  28.00                      2.0                      0.0   23.2500                                                                  Miss. Agnes McCoy        1
605     2.0  0.0  22.00                      1.0                      2.0   41.5792                               Mrs. Joseph (Juliette Marie Louise Lafargue) Laroche        1
427     1.0  1.0  28.00                      0.0                      0.0   26.5500                                           Mr. Mauritz Hakan Bjornstrom-Steffansson        1
832     3.0  1.0  21.00                      0.0                      0.0    8.6625                                                                    Mr. Jakob Pasic        0
668     1.0  1.0  31.00                      1.0                      0.0   52.0000                                                              Mr. Thornton Davidson        0
513     2.0  0.0  34.00                      0.0                      0.0   10.5000                                                        Mrs. (Amelia Milley) Lemore        1
45      3.0  1.0  20.00                      1.0                      0.0   15.5000                                                                   Mr. Denis Lennon        0
726     1.0  0.0  29.00                      0.0                      0.0  211.3375                                                       Miss. Elisabeth Walton Allen        1
455     2.0  0.0  50.00                      0.0                      0.0   10.5000                                                                 Miss. Ellen Toomey        1
243     3.0  1.0  30.00                      0.0                      0.0    7.2250                                                                Mr. Sleiman Attalah        0
84      3.0  0.0  33.00                      3.0                      0.0   15.8500                             Mrs. Karl Alfred (Maria Mathilda Gustafsson) Backstrom        1
856     3.0  1.0  41.00                      2.0                      0.0   14.1083                                                             Mr. Claus Peter Hansen        0
570     3.0  0.0  22.00                      0.0                      0.0    7.7500                                                                   Miss. Mary Kelly        1
615     2.0  0.0   4.00                      2.0                      1.0   39.0000                                                         Miss. Marion Louise Becker        1
249     3.0  1.0  18.00                      0.0                      0.0    7.2500                                                              Mr. James George Reed        0
755     1.0  0.0  33.00                      0.0                      0.0   86.5000                            the Countess. of (Lucy Noel Martha Dyer-Edwards) Rothes        1
